ministry,sector,project_name,agency,sl_no,state,approval_date,start_date,target_doc,revised_doc,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,cost_overrun_pct,report_month
Ministry of Mines,Construction,Construction of Permanent Campus of National Institute of Technology Arunachal Pradesh,"(National Institute of Technology, Arunachal Pradesh)",302,Arunachal Pradesh,09/2009,03/2013,08/2026,08/2024,592.61,592.61,551.3,80.0,0.0,2026-07
Ministry of Mines,Construction,IISER BERHAMPUR,"(Indian Institutes of Science Education and Research, Behrampur)",319,Odisha,10/2018,09/2019,03/2021,06/2026,1229.32,843.09,874.09,98.5,-31.41818240978752,2026-07
Ministry of Mines,Construction,Construction of IIT Bhubaneswar -Phase III,"(Indian Institute of Technology, Bhubaneshwar)",320,Odisha,02/2024,05/2024,11/2026,,454.27,454.27,102.15,10.45,0.0,2026-07
Ministry of Mines,Construction,Establishment of NIT Puducherry Permanent Campus [Phase-I and Phase-II],"(National Institute of Technology, Puducherry)",322,Puducherry,09/2009,07/2013,12/2024,05/2026,618.34,544.34,543.74,99.5,-11.967525956593459,2026-07
Ministry of Mines,Construction,"Construction of Permanent Campus of Indian Institute of Management [IIM] Amritsar, Punjab, Phase-I","(Indian intitue of Management, Amritsar)",323,Punjab,10/2019,07/2020,06/2023,11/2026,348.31,386.86,293.24,91.7,11.067727024776783,2026-07
Ministry of Mines,Construction,"Construction of Girls Hostel 400 seater, Boys Hostel 600 seater, Academic Block, International Hostel 100 seater, VC Residence and Purchase of Equipment",(Central University of Punjab),324,Punjab,08/2024,04/2025,10/2027,,210.99,210.99,99.02,58.0,0.0,2026-07
Ministry of Mines,Construction,"Construction of Sikkim University Campus Phase-I Package-II at Yangang, South Sikkim",(Sikkim University),325,Sikkim,08/2020,01/2022,01/2025,10/2026,314.06,340.55,292.0,96.5,8.43469400751449,2026-07
Ministry of Mines,Construction,Establishment of Permanent Campus of NIT SIkkim at Khamdong-Gangtok District,(NIT Sikkim),326,Sikkim,02/2024,03/2024,02/2028,12/2026,685.76,610.76,283.56,38.0,-10.936770881941204,2026-07
Ministry of Mines,Construction,"Construction of Permanent Campus for NIT Mizoram at Lengpui, Aizawl",(NIT Mizoram),317,Mizoram,09/2009,06/2014,12/2029,03/2022,474.23,474.23,167.55,4.0,0.0,2026-07
Ministry of Mines,Construction,Construction of Precast housing and hostels at IIT Hyderabad,"(Indian Institute of Technology, Hyderabad)",327,Telangana,09/2022,11/2022,10/2024,01/2026,262.0,262.0,223.65,90.39,0.0,2026-07
Ministry of Mines,Construction,Banaras Hindu University [ Kayakalp of Institute of Medical Sciences],(Banaras Hindu University),328,Uttar Pradesh,06/2020,06/2020,09/2022,07/2027,246.0,246.0,212.35,99.1,0.0,2026-07
Ministry of Mines,Construction,"Construction & Development of Infrastructural Facilities in the main campus of NIT Uttarakhand at Sumari, Pauri Garhwal",(National Institute of Technology Uttarakhand),329,Uttarakhand,06/2020,04/2024,09/2027,,650.85,650.85,401.56,63.0,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,"Setting up of new rail fed POL facility at Kamardanga, Assam",(Hindustan Petroleum Corporation Limited),333,Assam,03/2023,03/2023,07/2027,,384.04,384.04,250.07,87.5,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Capacity Augmentation of Kandla LPG Import Terminal [KLIT] from 0.6 MMTPA to 2.5 MMTPA,(Indian Oil Corporation Limited [IOCL]),334,Gujarat,05/2023,05/2023,07/2026,,356.86,304.4,168.04,68.0,-14.700442750658532,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,"Andheri Residential Towers, Mumbai",(Indian Oil Corporation Limited [IOCL]),335,Maharashtra,06/2017,06/2017,05/2025,06/2027,281.35,389.67,281.24,86.0,38.500088857295175,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Setting up of 50 MW [plus/minus 5 percent] Wind Power Plant for Captive Consumption at MR,(Bharat Petroleum Corporation Limited [BPCL]),336,Maharashtra,05/2023,05/2023,04/2027,,483.14,483.14,380.62,77.9,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,LPG Bottling Plant at Mualkhang,(Indian Oil Corporation Limited [IOCL]),337,Mizoram,07/2024,07/2024,10/2028,03/2028,225.71,225.71,32.45,34.0,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,"Petrochemical evacuation marketing terminal at Barmer, Rajasthan",(Hindustan Petroleum Corporation Limited),338,Rajasthan,12/2023,12/2023,12/2026,,461.05,461.05,252.18,97.5,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Petrochemical and Lube Integration Project at Gujarat Refinery,(Indian Oil Corporation Limited [IOCL]),368,Gujarat,09/2020,09/2020,08/2024,11/2026,18936.0,17825.0,13901.13,89.6,-5.867131389945078,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,"Construction of LPG Facilities at Kamardanga, Assam",(Hindustan Petroleum Corporation Limited),332,Assam,03/2023,03/2023,07/2027,,156.36,156.36,114.1,83.8,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Laying of POL Pipelines in Common Corridor for proposed grass root terminal at Vallur [Chennai],(MinistryofPetroleumNaturalGas),339,Tamil Nadu,01/2022,01/2022,05/2026,03/2027,829.0,829.0,382.47,81.0,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,"Grass-root Terminal at Mirzapur, Uttar Pradesh",(Indian Oil Corporation Limited [IOCL]),342,Uttar Pradesh,09/2022,09/2022,11/2026,,980.45,980.45,308.35,77.2,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Paradip-Numaligarh Crude Oil Pipeline [PNCPL] & Crude Oil Import Terminal [COIT] at Paradip,(Numaligarh Refinery Limited),343,West Bengal,01/2019,01/2019,07/2024,10/2026,10228.0,12407.0,11168.49,93.2,21.3042628079781,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Provision of four bitumen tanks with capacity of 5 TMT each at Visakh Refinery,(Hindustan Petroleum Corporation Limited),345,Andhra Pradesh,09/2025,09/2025,03/2028,,258.34,258.34,8.67,20.2,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,HP-COAT [Crude to Olefins and Aromatics Technology] demo unit at Visakh Refinery,(Hindustan Petroleum Corporation Limited),346,Andhra Pradesh,09/2021,09/2021,06/2024,02/2027,160.0,220.0,158.94,94.0,37.5,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Numaligarh Refinery Expansion Project,(Numaligarh Refinery Limited),347,Assam,07/2020,07/2020,07/2024,03/2027,12366.0,25313.0,20411.19,87.0,104.6983664887595,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Development of Surface Facilities for production and evacuation of Crude Oil and Natural Gas from Nadua and East Khagorija,(Oil India Limited),348,Assam,01/2018,01/2018,02/2020,12/2026,682.9,726.93,601.12,94.4,6.44750329477229,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Multi Product Pipeline from Irugur to Devangonthi,(MinistryofPetroleumNaturalGas),340,Tamil Nadu,11/2012,11/2012,02/2017,09/2026,678.0,1732.0,1206.36,86.4,155.45722713864308,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Kandla Gorakhpur LPG Pipeline,(Indian Oil Corporation Limited [IOCL]),341,Uttar Pradesh,12/2018,12/2018,12/2021,10/2026,10088.0,10088.0,8504.21,96.0,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Installation of new Biturox Unit along with allied facilities at Gujarat Refinery,(Indian Oil Corporation Limited [IOCL]),369,Gujarat,01/2022,01/2022,08/2025,12/2026,328.29,344.36,218.17,87.7,4.8950622924853,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,"Construction of Field Gas Gathering Station at Baghjan area for collection, processing & transportation of natural Gas to be produced from Baghjan Field",(Oil India Limited),349,Assam,12/2020,12/2020,03/2024,11/2026,430.76,430.76,348.65,95.9,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Coke Drum Structure Package,(Numaligarh Refinery Limited),351,Assam,12/2022,12/2022,12/2025,,635.28,635.28,464.46,72.0,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Augmentation/Revamping of Facilities at existing Guwahati Terminal at Betkuchi,(Indian Oil Corporation Limited [IOCL]),353,Assam,04/2022,04/2022,09/2026,,277.0,323.09,236.16,84.3,16.63898916967508,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Capacity Expansion of Digboi Refinery from 0.65 to 1.0 MMTPA,(Indian Oil Corporation Limited [IOCL]),354,Assam,06/2022,06/2022,03/2026,07/2027,768.0,740.0,250.84,60.1,-3.6458333333333335,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Pipeline Network Project Rudrasagar,(Oil and Natural Gas Corporation Limited [ONGC]),355,Assam,01/2023,01/2023,04/2026,04/2027,481.03,481.03,238.83,55.4,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Borholla GGS Life Extension Project [BLEP],(Oil and Natural Gas Corporation Limited [ONGC]),356,Assam,09/2023,09/2023,05/2026,03/2027,198.7,198.7,110.99,63.5,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,DCU Revamp Project,(Numaligarh Refinery Limited),357,Assam,08/2021,08/2021,07/2024,03/2027,370.0,370.0,310.38,80.5,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Power Recovery Turbine [PRT] in PFCCU unit as an Energy Conservation Scheme,(Numaligarh Refinery Limited),358,Assam,04/2023,04/2023,12/2024,12/2026,293.5,293.5,81.84,99.0,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,"Setting up of LPG Plant with Rail Unloading Facility at Hathua, Dist. Gopalganj, Bihar",(Bharat Petroleum Corporation Limited [BPCL]),359,Bihar,10/2023,10/2023,03/2027,,340.15,340.15,186.21,56.0,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,"Pipeline Rehabilitation Project, Phase-II",(Oil India Limited),350,Assam,12/2024,12/2024,12/2029,,680.0,680.0,13.53,29.0,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Barauni Refinery Capacity Expansion from 6.0 to 9.0 MMTPA,(Indian Oil Corporation Limited [IOCL]),360,Bihar,01/2020,01/2020,04/2023,12/2026,14810.0,16724.0,13089.84,91.8,12.923700202565833,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,"City Gas Distribution Projects at Darbhanga, Madhubani, Supaul, Sitamarhi and Sheohar districts",(Bharat Petroleum Corporation Limited [BPCL]),362,Bihar,12/2022,12/2022,03/2030,,3638.0,3638.0,493.91,33.6,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,"City Gas Distribution Projects at Gopalganj, Siwan, West Champaran, East Champaran and Deoria districts",(Bharat Petroleum Corporation Limited [BPCL]),363,Bihar,12/2022,12/2022,06/2030,,3919.0,3919.0,527.15,30.3,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,"City Gas Distribution [CGD] Project in Kondagaon, Bastar, Sukma, Narayanpur, Bijapur & Dantewada GA",(GAIL Gas),364,Chhattisgarh,06/2022,06/2022,06/2030,,557.04,557.04,11.63,2.2,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Redevelopment of Sobhasan Complex,(Oil and Natural Gas Corporation Limited [ONGC]),365,Gujarat,08/2021,08/2021,03/2027,,885.63,1347.61,1062.32,95.6,52.163996251256165,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Redevelopment of Santhal Field [Onshore-Mehsana Asset],(Oil and Natural Gas Corporation Limited [ONGC]),366,Gujarat,02/2017,02/2017,03/2026,12/2026,1162.56,1162.56,1127.73,96.8,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Redevelopment of Linch Field,(Oil and Natural Gas Corporation Limited [ONGC]),367,Gujarat,04/2021,04/2021,03/2025,10/2026,631.03,845.42,622.24,93.7,33.974612934408825,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,"Group Gathering Station, Lakwagaon",(Oil India Limited),352,Assam,10/2025,10/2025,10/2027,,495.59,495.59,20.04,7.8,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Installation of Bitumen Manufacturing Unit along with allied facilities at Barauni Refinery,(Indian Oil Corporation Limited [IOCL]),361,Bihar,01/2022,01/2022,04/2025,06/2027,389.35,410.3,124.57,66.3,5.380762809811221,2026-07
Ministry of Power,Coal,Provision of Dynamic Reactive Compensation at Khavda pooling Station 1 [KPS1] and Khavda Pooling station 3 [KPS3],(Power Grid Corporation of India Limited [POWERGRID]),188,Gujarat,11/2024,11/2024,11/2026,,501.0,501.0,26.45,8.67,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Commercial Polymer Flooding Project in Bechraji field,(Oil and Natural Gas Corporation Limited [ONGC]),370,Gujarat,01/2022,01/2022,11/2024,05/2027,621.4,739.02,280.45,50.0,18.928226585130353,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,ONGC-BP Redevelopment Phase-1 Scheme of Mumbai High Field,(Oil and Natural Gas Corporation Limited [ONGC]),395,Maharashtra,11/2025,11/2025,03/2027,,3713.4,3908.0,2304.68,56.3,5.240480422254535,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,"Kalol Redevelopment Project, Ahmedabad Asset",(Oil and Natural Gas Corporation Limited [ONGC]),373,Gujarat,08/2022,08/2022,03/2027,,1487.41,1487.41,946.45,66.0,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,"Revamping of SV Stations, Gas Terminal & Kribhco Terminal",(Oil and Natural Gas Corporation Limited [ONGC]),374,Gujarat,11/2022,11/2022,08/2026,,837.34,1119.86,469.99,70.9,33.740177227888296,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,"Indian Oil Technology Development and Deployment Centre at R&D Campus-II, Faridabad",(Indian Oil Corporation Limited [IOCL]),375,Haryana,06/2019,06/2019,12/2022,07/2027,2281.94,3200.0,1922.03,65.4,40.231557359089194,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Poly Butadiene Rubber plant at Panipat,(Indian Oil Corporation Limited [IOCL]),376,Haryana,03/2022,03/2022,03/2025,12/2026,1459.0,2531.44,1560.24,90.1,73.50514050719671,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Capacity Expansion of Panipat Refinery from 15 to 25 MMTPA,(Indian Oil Corporation Limited [IOCL]),377,Haryana,02/2021,02/2021,09/2024,12/2026,34627.0,36225.0,28007.35,94.3,4.61489589049008,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,"Installation of Multiple Effect Evaporator [MEE] for ETP-1, 2 & 4 of Panipat Refinery and Petrochemical Complex.",(Indian Oil Corporation Limited [IOCL]),378,Haryana,12/2020,12/2020,06/2023,10/2026,165.13,247.69,193.38,92.5,49.99697208260159,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Petro Resid Fluidized Catalytic Cracking [PRFCC] Unit and its associated facilities at Mumbai Refinery,(Bharat Petroleum Corporation Limited [BPCL]),392,Maharashtra,05/2025,05/2025,09/2029,,13626.0,13626.0,93.6,7.2,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Old Pipe Line Replacement [OPRP] Group-A,(Oil and Natural Gas Corporation Limited [ONGC]),372,Gujarat,07/2021,07/2021,07/2025,11/2026,173.03,169.84,168.22,94.6,-1.8436109345200242,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Laying of Natural Gas Pipeline from Hazaribagh to Ranchi [HRPL],(Indian Oil Corporation Limited [IOCL]),381,Jharkhand,02/2023,02/2023,02/2026,03/2027,202.07,202.07,65.98,58.4,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,City Gas Distribution Maharashtra Natural Gas Limited,(Gas Authority of India Limited [GAIL]),384,Karnataka,01/2006,01/2006,06/2031,,5535.0,5535.0,4481.93,47.0,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Revamping/ Augmentation of facilities at existing port terminal at Mangalore,(Indian Oil Corporation Limited [IOCL]),385,Karnataka,01/2022,01/2022,12/2025,06/2027,463.0,500.62,327.65,85.6,8.125269978401729,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Augmentation of CCKPL and IDPL Pipelines capacity along with setting up of Palakkad TOP,(Bharat Petroleum Corporation Limited [BPCL]),386,Kerala,09/2024,09/2024,08/2028,,1130.0,1130.0,324.61,48.8,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Setting up Polypropylene Unit at Kochi Refinery,(Bharat Petroleum Corporation Limited [BPCL]),387,Kerala,12/2023,12/2023,10/2027,,4460.0,4850.0,1026.0,45.2,8.74439461883408,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,C2/C3 Vijaipur Pata Pipeline,(Gas Authority of India Limited [GAIL]),388,Madhya Pradesh,05/2024,05/2024,01/2027,,1792.0,1792.0,541.2,73.0,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Ethylene Cracker Project at Bina Refinery including downstream Petrochemical Plants and expansion of Refinery,(Bharat Petroleum Corporation Limited [BPCL]),389,Madhya Pradesh,05/2023,05/2023,05/2028,,43367.0,43367.0,6104.0,33.5,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Power System Upgradation Project,(Mangalore Refinery and Petrochemicals Limited),382,Karnataka,10/2023,10/2023,11/2025,09/2026,385.0,385.0,271.36,90.4,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Demo Bio-ATF Project,(Mangalore Refinery and Petrochemicals Limited),383,Karnataka,03/2024,03/2024,01/2027,,364.0,364.0,91.39,54.8,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,"Restoration of Gas Terminal, Phase-I [Part-A], Hazira",(Oil and Natural Gas Corporation Limited [ONGC]),371,Gujarat,05/2022,05/2022,02/2025,,249.43,249.43,219.56,97.6,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Lube Modernization & Bottom Upgradation Project at Mumbai Refinery,(Hindustan Petroleum Corporation Limited),391,Maharashtra,12/2024,12/2024,03/2028,08/2029,4679.0,6008.0,314.9,14.1,28.403505022440694,2026-07
Ministry of Mines,Construction,"HEFA projects on development of student hostels, playgrounds, departmental buildings, class room complex and other campus facilities in IIT Kharagpur","(Indian Institute of Technology, Kharagpur)",330,West Bengal,06/2018,04/2019,03/2023,12/2026,500.0,442.0,418.86,97.0,-11.600000000000001,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,"City Gas Distribution Project at Beed, Jalgaon and Jalna Districts",(Indian Oil Corporation Limited [IOCL]),396,Maharashtra,03/2022,03/2022,09/2031,,865.0,865.0,89.23,3.4,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Construction of Additional Tankages and Allied Facilities at JNPT Terminal,(Indian Oil Corporation Limited [IOCL]),397,Maharashtra,04/2022,04/2022,08/2026,,341.43,436.14,305.01,72.9,27.739214480274132,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,POL & LOBS Installations with Receipt Pipelines at Rasayani,(Bharat Petroleum Corporation Limited [BPCL]),398,Maharashtra,05/2023,05/2023,05/2026,,2585.0,2585.0,1507.62,87.3,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Integrated Para Xylene [PX] and Purified Terephthalic Acid [PTA] Project at Paradip Refinery,(Indian Oil Corporation Limited [IOCL]),402,Odisha,07/2020,07/2020,01/2024,08/2026,13805.0,11783.0,8870.29,94.9,-14.646867077145961,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,"City Gas Distribution [CGD] Project in Gajapati, Kandhamal, Boudh, & Sonepur GA",(GAIL Gas),403,Odisha,02/2022,02/2022,12/2031,,514.91,514.91,25.77,5.8,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,"CUF POL Depot at Sadashibpur [Meramundali], Odisha",(Bharat Petroleum Corporation Limited [BPCL]),404,Odisha,04/2021,04/2021,03/2026,09/2026,393.54,393.54,233.3,86.0,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Installation of Compression facility at GAIL Usar,(Gas Authority of India Limited [GAIL]),394,Maharashtra,04/2025,04/2025,04/2027,,260.2,260.2,0.0,0.0,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Augmentation of DUPL-DPPL Pipeline,(Gas Authority of India Limited [GAIL]),393,Maharashtra,06/2025,06/2025,03/2028,,844.0,844.0,1.2,8.2,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Life Extension of 48 well platforms of Mumbai High & Heera Fields,(Oil and Natural Gas Corporation Limited [ONGC]),405,Offshore,12/2015,12/2015,04/2018,10/2026,3190.69,3375.9,3123.2,90.0,5.804700550664591,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Daman Upside Development Project,(Oil and Natural Gas Corporation Limited [ONGC]),408,Offshore,06/2022,06/2022,10/2025,12/2026,4144.41,6406.9,6302.5,92.9,54.59136523654754,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,MHN TCPP PGC BGC Project [MTPBP],(Oil and Natural Gas Corporation Limited [ONGC]),409,Offshore,06/2022,06/2022,05/2026,12/2026,2329.45,2354.23,1930.25,95.6,1.0637704179098157,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,PRP-VIII Group B [NH & BS Asset],(Oil and Natural Gas Corporation Limited [ONGC]),410,Offshore,06/2024,06/2024,02/2026,12/2026,2546.9,3348.6,3003.9,98.7,31.477482429620313,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Integrated Development of 4 Contract Areas under DSF-II,(Oil and Natural Gas Corporation Limited [ONGC]),411,Offshore,05/2023,05/2023,04/2027,,6183.79,6183.79,2053.0,47.4,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Gurdaspur Jammu Pipeline,(Gas Authority of India Limited [GAIL]),413,Punjab,07/2023,07/2023,07/2026,,521.9,521.9,326.4,91.1,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,City Gas Distribution Project at Pathankot District,(Indian Oil Corporation Limited [IOCL]),414,Punjab,03/2022,03/2022,09/2033,,151.0,151.0,9.02,2.0,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,PRP-VIII [Group-A],(Oil and Natural Gas Corporation Limited [ONGC]),406,Offshore,09/2024,09/2024,02/2026,,1589.4,1486.4,629.46,60.2,-6.480432867748835,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Pipeline Replacement Project- PRP-IX,(Oil and Natural Gas Corporation Limited [ONGC]),407,Offshore,08/2025,08/2025,05/2027,,6684.0,6175.0,979.47,23.5,-7.615200478755237,2026-07
Ministry of Power,Coal,Transmission system for Evacuation of Additional 7 GW RE power from Khavda RE park under Phase-III Part B [Vataman Transmission Limited],(Power Grid Corporation of India Limited [POWERGRID]),185,Gujarat,12/2023,12/2023,12/2025,12/2026,4231.0,4231.0,3175.79,72.12,0.0,2026-07
Ministry of Road Transport & Highways,Roads & Highways,Bargi Diversion Project Phase - III [km. 104 to km 154],(Water Resources-MP),1756,Madhya Pradesh,04/2007,04/2007,12/2019,12/2026,1229.15,1399.7,2270.96,81.52,13.87544237887971,2026-07
Ministry of Road Transport & Highways,Roads & Highways,construction of a new 4 lane Parallel to existing MG Setu with its approaces from km 0.00 to km 14.500 across river Ganga on NH-19 at Patna in the state of Bihar.,(MoRTH),849,Bihar,02/2019,03/2021,09/2024,12/2027,2926.42,2926.42,622.65,75.33,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,City Gas Distribution Projects at the Nilgiris and Erode districts,(Bharat Petroleum Corporation Limited [BPCL]),420,Tamil Nadu,12/2022,12/2022,03/2030,,3685.0,3685.0,303.1,25.5,0.0,2026-07
Ministry of Railways,Railways,Construction of Paradeep- Badabandha 3rd & 4th line 18.51 km PB34/ECOR/2023-24,(CAO/C/ECOR ECoR mor),670,Odisha,08/2023,11/2025,11/2028,,300.15,300.15,21.5,7.0,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,ATF Pipeline from BPCLs Malkapur POL Installation to Hyderabad International airport,(Bharat Petroleum Corporation Limited [BPCL]),421,Telangana,03/2025,03/2025,09/2027,,215.0,215.0,46.87,29.1,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,North East Gas Grid,(Indradhanush Gas Grid Limited),422,Tripura,04/2020,04/2020,03/2024,03/2028,9265.0,9265.0,7008.0,88.2,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,"Creation of Gas Dehydration Facilities, Tripura Asset",(Oil and Natural Gas Corporation Limited [ONGC]),423,Tripura,03/2022,03/2022,05/2024,10/2026,209.33,131.51,81.31,71.3,-37.17575120622941,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Kanpur LPG Bottling Plant,(Bharat Petroleum Corporation Limited [BPCL]),424,Uttar Pradesh,09/2025,09/2025,09/2027,,202.0,202.0,132.75,62.5,0.0,2026-07
Ministry of Health & Family Welfare,Healthcare,AIIMS Darbhanga,(PMSSY AND Institute of NATIONAL Importance),435,Bihar,09/2020,09/2020,07/2029,,2006.07,2006.07,40.33,1.12,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Bulk Loading Hub- Kanpur,(Bharat Petroleum Corporation Limited [BPCL]),425,Uttar Pradesh,09/2025,09/2025,09/2027,,186.0,186.0,104.24,62.5,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,"City Gas Distribution Projects at Lakhimpur Kheri , Sitapur, Bahraich, Shravasti,Balrampur, Siddharth Nagar & Maharajganj districts",(Bharat Petroleum Corporation Limited [BPCL]),427,Uttar Pradesh,12/2022,12/2022,06/2030,,16654.0,16654.0,754.7,19.8,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Durgapur - Haldia Pipeline [Section-3B of JHBDPL Project],(Gas Authority of India Limited [GAIL]),428,West Bengal,03/2017,03/2017,12/2020,09/2026,1740.0,2583.0,2380.8,95.7,48.44827586206897,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Siliguri-Jhapa Pipeline Project,(Indian Oil Corporation Limited [IOCL]),429,West Bengal,09/2024,09/2024,08/2029,08/2029,267.0,267.0,3.19,16.5,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Siliguri Marketing Terminal [SMT] Capacity Augmentation Project,(Numaligarh Refinery Limited),430,West Bengal,11/2021,11/2021,12/2025,10/2026,484.0,484.0,319.32,89.0,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Dhamra Haldia Pipeline Project,(Gas Authority of India Limited [GAIL]),431,West Bengal,03/2020,03/2020,11/2022,09/2026,1030.65,1125.0,927.4,94.4,9.154417115412594,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Haldia Panagarh Pipeline Project,(Hindustan Petroleum Corporation Limited),432,West Bengal,11/2022,11/2022,11/2025,08/2026,1010.0,1107.0,884.2,98.3,9.603960396039604,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,"City Gas Distribution Project at East Mednipore, West Mednipore & Jhargram Districts",(Indian Oil Corporation Limited [IOCL]),433,West Bengal,03/2022,03/2022,06/2031,,609.0,609.0,64.44,3.0,0.0,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,Laying of new 28 inch Desal Water Pipeline and 10 inch Reject Water Pipeline between CPCL Manali Refinery and CPCL Desalination plant at Ennore,(Chennai Petroleum Corporation Limited [CPCL]),419,Tamil Nadu,01/2024,01/2024,09/2025,12/2026,205.0,205.0,117.88,76.9,0.0,2026-07
